"","GLOBAL.UNIQUE.IDENTIFIER","LAST.EDITED.DATE","TAXONOMIC.ORDER","CATEGORY","TAXON.CONCEPT.ID","COMMON.NAME","SCIENTIFIC.NAME","SUBSPECIES.COMMON.NAME","SUBSPECIES.SCIENTIFIC.NAME","EXOTIC.CODE","OBSERVATION.COUNT","BREEDING.CODE","BREEDING.CATEGORY","BEHAVIOR.CODE","AGE.SEX","COUNTRY","COUNTRY.CODE","STATE","STATE.CODE","COUNTY","COUNTY.CODE","IBA.CODE","BCR.CODE","USFWS.CODE","ATLAS.BLOCK","LOCALITY","LOCALITY.ID","LOCALITY.TYPE","LATITUDE","LONGITUDE","OBSERVATION.DATE","TIME.OBSERVATIONS.STARTED","OBSERVER.ID","SAMPLING.EVENT.IDENTIFIER","PROTOCOL.TYPE","PROTOCOL.CODE","PROJECT.CODE","DURATION.MINUTES","EFFORT.DISTANCE.KM","EFFORT.AREA.HA","NUMBER.OBSERVERS","ALL.SPECIES.REPORTED","GROUP.IDENTIFIER","HAS.MEDIA","APPROVED","REVIEWED","REASON","TRIP.COMMENTS","SPECIES.COMMENTS","ID","NSPECIES","Vireo_gracilirostris"
"63151","URN:CornellLabOfOrnithology:EBIRD:OBS811287788","2019-10-09 17:15:05",8688,"species","avibase-B9EE9676","Burrowing Owl","Athene cunicularia","","","","4","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"São Bento do Una--área geral","L9974232","H",-8.5227563,-36.4438095,"2019-09-28","15:30:00","obsr1452859","S60233038","Stationary","P21","EBIRD",150,NA,NA,1,1,"",1,1,0,"","","",3242,1,0
"63152","URN:CornellLabOfOrnithology:EBIRD:OBS811492971","2019-09-30 19:04:08",8688,"species","avibase-B9EE9676","Burrowing Owl","Athene cunicularia","","","","1","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Parque Monsenhor Paulo Cremildo Batista de Oliveira","L9955383","H",-8.197721,-35.5573205,"2019-09-30","18:00:00","obsr605308","S60247763","Incidental","P20","EBIRD",NA,NA,NA,1,0,"",0,1,0,"","","",3243,1,0
"63163","URN:CornellLabOfOrnithology:EBIRD:OBS810136998","2019-09-27 11:44:17",7247,"species","avibase-6CCDAC53","Cattle Egret","Bubulcus ibis","","","","7","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Prolar, Gravatá","L9962855","P",-8.2031652,-35.5524825,"2019-09-27","08:41:00","obsr605308","S60151447","Stationary","P21","EBIRD",10,NA,NA,1,1,"",0,1,0,"","","",3244,7,0
"63213","URN:CornellLabOfOrnithology:EBIRD:OBS806032040","2021-03-31 16:03:06.353309",7200,"species","avibase-49D9148A","Great Egret","Ardea alba","","","","3","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"762-794 Avenida Alfredo Lisboa, Pernambuco, BR (-8.06, -34.87)","L9921803","P",-8.0603766,-34.8699121,"2019-09-15","17:00:00","obsr155017","S59844400","Stationary","P21","EBIRD",45,NA,NA,2,1,"",0,1,0,"","Waterfront at centro velho. With Layse. Mostly clear, light onshore breeze, temps in high 70s.","",3245,4,0
"63249","URN:CornellLabOfOrnithology:EBIRD:OBS833385993","2019-12-01 21:18:19",12558,"species","avibase-29F9CF96","Jandaya Parakeet","Aratinga jandaya","","","","5","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"BR-PE-Ipojuca (-8,4594,-34,9897)","L10218620","P",-8.45939,-34.98974,"2019-09-05","12:16:00","obsr521896","S61871329","Traveling","P22","EBIRD",40,0.5,NA,1,0,"",1,1,0,"","","",3246,5,0
"63391","URN:CornellLabOfOrnithology:EBIRD:OBS932915280","2020-05-27 15:01:49",33933,"species","avibase-D808B430","Seven-colored Tanager","Tangara fastuosa","","","","X","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"RPPN Pedra D'Antas--Jardim dos beija-flores","L6490085","H",-8.693673,-35.856795,"2019-09-05","14:51:00","obsr922152","S69722919","Incidental","P20","EBIRD",NA,NA,NA,1,0,"",0,1,0,"","","",3247,1,0
"63402","URN:CornellLabOfOrnithology:EBIRD:OBS806375325","2019-09-17 05:50:25",7229,"species","avibase-AA7901D8","Snowy Egret","Egretta thula","","","","1","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"1818 Avenida Domingos Ferreira, Pernambuco, BR (-8.104, -34.89)","L9925365","P",-8.1036546,-34.8899329,"2019-09-17","06:47:00","obsr155017","S59869729","Incidental","P20","EBIRD",NA,NA,NA,1,0,"",0,1,0,"","On way to airport","",3248,3,0
"63519","URN:CornellLabOfOrnithology:EBIRD:OBS818240044","2021-06-19 13:55:16.099715",15617,"species","avibase-E7BECBF1","Alagoas Tyrannulet","Phylloscartes ceciliae","","","","1","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"BR-PE-Jaqueira (-8.7222,-35.8370)","L10050822","P",-8.722156,-35.837003,"2019-10-19","06:22:00","obsr641214","S60746496","Traveling","P22","EBIRD",300,16.093,NA,3,1,"",0,1,0,"","","8:12",3249,53,0
"63520","URN:CornellLabOfOrnithology:EBIRD:OBS818312181","2021-08-17 16:40:06.908589",15617,"species","avibase-E7BECBF1","Alagoas Tyrannulet","Phylloscartes ceciliae","","","","2","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Jaqueira--RPPN Frei Caneca","L3298330","H",-8.722466,-35.8372,"2019-10-19","07:05:00","obsr553166","S60751062","Incidental","P20","EBIRD",NA,NA,NA,3,0,"",0,1,0,"","","",3250,71,0
"63521","URN:CornellLabOfOrnithology:EBIRD:OBS812754101","2020-06-22 18:43:07",5267,"species","avibase-65A6922D","Ash-throated Crake","Mustelirallus albicollis","","","","1","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Forbe's Blackbird Marsh","L9990768","P",-8.7550482,-35.1202754,"2019-10-04","05:45:00","obsr163746","S60347605","Traveling","P22","EBIRD",30,0.805,NA,10,1,"G4568004",0,1,0,"","","Heard only",3251,9,0
